Regulator	Target
BRCA1	ASF1B
BRCA1	ATAD5
BRCA1	CDC45
BRCA1	CDCA5
BRCA1	CENPM
BRCA1	CENPU
BRCA1	CENPW
BRCA1	CHAF1A
BRCA1	CKS1B
BRCA1	CLSPN
BRCA1	DEK
BRCA1	DHFR
BRCA1	DNAJC9
BRCA1	DNMT1
BRCA1	DUT
BRCA1	FAM111B
BRCA1	FANCD2
BRCA1	FEN1
BRCA1	GGH
BRCA1	GINS2
BRCA1	H2AFZ
BRCA1	HELLS
BRCA1	MCM3
BRCA1	MCM6
BRCA1	MND1
BRCA1	NPM1
BRCA1	NUSAP1
BRCA1	ORC6
BRCA1	PCNA
BRCA1	RAD51
BRCA1	RAD51AP1
BRCA1	RFC4
BRCA1	RRM2
BRCA1	SMC2
BRCA1	STMN1
BRCA1	TIMELESS
BRCA1	TK1
BRCA1	TUBA1B
BRCA1	TUBB
BRCA1	TYMS
BRCA1	USP1
BRCA1	ZWINT
CEBPA	AVP
CEBPA	CPA3
CEBPA	IGLL1
CEBPA	MPO
CEBPA	RNASE2
CEBPD	AVP
CEBPD	AZU1
CEBPD	C1QTNF4
CEBPD	CALR
CEBPD	CD164
CEBPD	CD52
CEBPD	CFD
CEBPD	CSF1R
CEBPD	CST7
CEBPD	CSTA
CEBPD	CTSG
CEBPD	EEF1A1
CEBPD	ELANE
CEBPD	FAM107B
CEBPD	FTH1
CEBPD	HOPX
CEBPD	HSP90B1
CEBPD	IGFBP2
CEBPD	IGLL1
CEBPD	IRF8
CEBPD	LGALS1
CEBPD	LST1
CEBPD	LYST
CEBPD	LYZ
CEBPD	MPO
CEBPD	MS4A3
CEBPD	MS4A6A
CEBPD	PRDX1
CEBPD	PRSS57
CEBPD	PRTN3
CEBPD	RAB32
CEBPD	RNASE2
CEBPD	RNASE3
CEBPD	SERPINB8
CEBPD	SPINK2
CEBPD	SRGN
CEBPD	TNFSF13B
E2F1	ATAD2
E2F1	CENPU
E2F1	CHAF1A
E2F1	CLSPN
E2F1	FEN1
E2F1	GINS2
E2F1	H2AFZ
E2F1	HELLS
E2F1	MCM7
E2F1	MYBL2
E2F1	PCNA
E2F1	RRM2
E2F1	TK1
E2F1	TUBA1B
E2F1	TYMS
E2F1	ZWINT
E2F2	TK1
E2F8	CDCA5
E2F8	HIST1H1B
E2F8	MKI67
E2F8	RRM2
EGR1	JUNB
FOS	ARL4A
FOS	AVP
FOS	DUSP1
FOS	EIF1
FOS	FABP5
FOS	FOSB
FOS	FTH1
FOS	HSP90AA1
FOS	IDS
FOS	IGLL1
FOS	JUN
FOS	JUND
FOS	KLF4
FOS	KLF6
FOS	LMNA
FOS	MCL1
FOS	MYADM
FOS	NUCB2
FOS	PPP1R15A
FOS	TPT1
FOS	TSC22D3
FOS	TUBA1A
FOS	TUBA1B
FOS	TYMS
FOS	VIM
FOS	ZFP36
FOSB	DUSP1
FOSB	FOS
FOSB	IDS
FOSB	JUN
FOSB	KLF6
FOSB	MCL1
FOSB	NR4A2
FOSB	PPP1R15A
FOSB	TSC22D3
FOSB	TUBA1A
FOXM1	ASF1B
FOXM1	ASPM
FOXM1	AURKB
FOXM1	BIRC5
FOXM1	CCNA2
FOXM1	CDCA3
FOXM1	CDCA5
FOXM1	CDK1
FOXM1	CDKN3
FOXM1	CENPA
FOXM1	CENPE
FOXM1	CENPF
FOXM1	CENPW
FOXM1	DLGAP5
FOXM1	EIF3E
FOXM1	GTSE1
FOXM1	HMGB2
FOXM1	HMMR
FOXM1	KIF11
FOXM1	KIF14
FOXM1	KIF15
FOXM1	KIF23
FOXM1	KIFC1
FOXM1	MKI67
FOXM1	MND1
FOXM1	MXD3
FOXM1	NACA
FOXM1	NCAPH
FOXM1	NDC80
FOXM1	NEK2
FOXM1	NPM1
FOXM1	NUF2
FOXM1	NUSAP1
FOXM1	PLK1
FOXM1	PTTG1
FOXM1	SPC24
FOXM1	SPC25
FOXM1	TK1
FOXM1	TOP2A
